AÑO;MES;ENTIDAD_PRESTADORA;CONCESION;UNIDAD_DE_PEAJE;SENTIDO_DE_COBRO_EN_UNIDAD_DE_PEAJE;TOTAL_VEHICULOS_PAGANTES;TOTAL_VEHICULO_EXONERADOS;TOTAL_DE_VEHICULOS_EXONERADOS_EVENTOS_EXTRAORDINARIOS;TOTAL_VEHICULOS_EVADIDOS
1900;1;CONCESIONARIA VIAL DEL SOL S.A.;AUTOPISTA DEL SOL, TRAMO TRUJILLO-SULLANA;UP BAYOVAR;ASCENDENTE;0;0;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;VIRÚ;ASCENDENTE;5195;12;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;FORTALEZA;DESCENDENTE;2805;9;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;402+760;ASCENDENTE;2703;23;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;FORTALEZA;ASCENDENTE;2174;5;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;FORTALEZA;ASCENDENTE;2772;6;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;FORTALEZA;DESCENDENTE;2841;9;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;FORTALEZA;DESCENDENTE;3639;16;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;402+760;ASCENDENTE;3547;18;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;HUARMEY;DESCENDENTE;2319;16;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;FORTALEZA;DESCENDENTE;3204;8;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;FORTALEZA;ASCENDENTE;2733;7;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;VIRÚ;DESCENDENTE;4571;35;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;FORTALEZA;DESCENDENTE;2605;11;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;VIRÚ;DESCENDENTE;4285;29;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;HUARMEY;ASCENDENTE;2889;15;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;HUARMEY;DESCENDENTE;2584;16;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;VIRÚ;ASCENDENTE;4511;20;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;VIRÚ;DESCENDENTE;4567;29;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;VIRÚ;DESCENDENTE;5215;39;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;VIRÚ;ASCENDENTE;4672;21;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;HUARMEY;DESCENDENTE;2817;16;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;HUARMEY;ASCENDENTE;1380;12;0;0
2019;1;AUTOPISTA DEL NORTE S.A.C.;RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N;402+760;ASCENDENTE;2601;32;0;0
